id,split,intent,should_escalate,reason,annotator,label_source,labelled_at
1156500,dev,,,,,,
1252259,dev,,,,,,
1292219,dev,,,,,,
1335510,dev,,,,,,
1627438,dev,,,,,,
1666490,dev,,,,,,
1694928,dev,,,,,,
1824292,dev,,,,,,
1829130,dev,,,,,,
1887211,dev,,,,,,
1892721,dev,,,,,,
1908993,dev,,,,,,
1963229,dev,,,,,,
1965635,dev,,,,,,
2081825,dev,,,,,,
2251506,dev,,,,,,
2288863,dev,,,,,,
2291108,dev,,,,,,
2294086,dev,,,,,,
233822,dev,,,,,,
2349712,dev,,,,,,
2422827,dev,,,,,,
2483218,dev,,,,,,
2584489,dev,,,,,,
260046,dev,,,,,,
265069,dev,,,,,,
2666949,dev,,,,,,
2836389,dev,,,,,,
2862732,dev,,,,,,
2920785,dev,,,,,,
39737,dev,,,,,,
422084,dev,,,,,,
44304,dev,,,,,,
446900,dev,,,,,,
492396,dev,,,,,,
523583,dev,,,,,,
569633,dev,,,,,,
680593,dev,,,,,,
830223,dev,,,,,,
990848,dev,,,,,,
1001238,test,,,,,,
100138,test,,,,,,
1007937,test,,,,,,
1025760,test,,,,,,
1030261,test,,,,,,
1074045,test,,,,,,
1080685,test,,,,,,
1141274,test,,,,,,
115349,test,,,,,,
1158246,test,,,,,,
1211900,test,,,,,,
1233744,test,,,,,,
1257211,test,,,,,,
1264075,test,,,,,,
1270544,test,,,,,,
128181,test,,,,,,
1295669,test,,,,,,
1295917,test,,,,,,
1333636,test,,,,,,
1353067,test,,,,,,
1356645,test,,,,,,
1368555,test,,,,,,
1399645,test,,,,,,
1473907,test,,,,,,
1487928,test,,,,,,
1514282,test,,,,,,
1538199,test,,,,,,
1548917,test,,,,,,
1559483,test,,,,,,
1569794,test,,,,,,
1658863,test,,,,,,
1695042,test,,,,,,
1705677,test,,,,,,
1723525,test,,,,,,
1757050,test,,,,,,
1762505,test,,,,,,
1798611,test,,,,,,
1800542,test,,,,,,
1803131,test,,,,,,
1803605,test,,,,,,
1824880,test,,,,,,
1825708,test,,,,,,
1841196,test,,,,,,
1848033,test,,,,,,
1865988,test,,,,,,
1871622,test,,,,,,
1883581,test,,,,,,
1884173,test,,,,,,
1893210,test,,,,,,
1896060,test,,,,,,
1912048,test,,,,,,
1915367,test,,,,,,
1927120,test,,,,,,
1938765,test,,,,,,
1970265,test,,,,,,
2002205,test,,,,,,
2019436,test,,,,,,
2027301,test,,,,,,
2028538,test,,,,,,
2036384,test,,,,,,
2042381,test,,,,,,
2047804,test,,,,,,
2057799,test,,,,,,
2064231,test,,,,,,
2065161,test,,,,,,
2070180,test,,,,,,
2078728,test,,,,,,
2083182,test,,,,,,
2095198,test,,,,,,
2106115,test,,,,,,
2110692,test,,,,,,
2121158,test,,,,,,
2154931,test,,,,,,
2171532,test,,,,,,
2175396,test,,,,,,
2182149,test,,,,,,
2190934,test,,,,,,
2242874,test,,,,,,
2246191,test,,,,,,
2268684,test,,,,,,
2276904,test,,,,,,
2286385,test,,,,,,
2287579,test,,,,,,
2319923,test,,,,,,
2322409,test,,,,,,
2332439,test,,,,,,
2338000,test,,,,,,
2342531,test,,,,,,
2344081,test,,,,,,
2347869,test,,,,,,
2368020,test,,,,,,
2369716,test,,,,,,
2379031,test,,,,,,
2387456,test,,,,,,
2389838,test,,,,,,
2399814,test,,,,,,
2407013,test,,,,,,
2454658,test,,,,,,
245999,test,,,,,,
2508300,test,,,,,,
2509534,test,,,,,,
2520942,test,,,,,,
2523580,test,,,,,,
2549575,test,,,,,,
2558833,test,,,,,,
2572243,test,,,,,,
2578882,test,,,,,,
2582058,test,,,,,,
2596640,test,,,,,,
2608276,test,,,,,,
2614468,test,,,,,,
2627026,test,,,,,,
2641107,test,,,,,,
2641140,test,,,,,,
2646415,test,,,,,,
2678328,test,,,,,,
2708565,test,,,,,,
2712673,test,,,,,,
2725142,test,,,,,,
2746369,test,,,,,,
2747496,test,,,,,,
2769148,test,,,,,,
280588,test,,,,,,
2839339,test,,,,,,
2846475,test,,,,,,
2853058,test,,,,,,
2885999,test,,,,,,
2912543,test,,,,,,
2913837,test,,,,,,
2916641,test,,,,,,
2917820,test,,,,,,
2919363,test,,,,,,
2930438,test,,,,,,
2943762,test,,,,,,
2962011,test,,,,,,
2963358,test,,,,,,
37699,test,,,,,,
46662,test,,,,,,
468956,test,,,,,,
507435,test,,,,,,
524354,test,,,,,,
538071,test,,,,,,
64351,test,,,,,,
653087,test,,,,,,
6620,test,,,,,,
677077,test,,,,,,
683119,test,,,,,,
688102,test,,,,,,
689571,test,,,,,,
694040,test,,,,,,
700427,test,,,,,,
708988,test,,,,,,
739013,test,,,,,,
801807,test,,,,,,
830836,test,,,,,,
833834,test,,,,,,
847201,test,,,,,,
885077,test,,,,,,
893080,test,,,,,,
961763,test,,,,,,
